iter	Precision	Logloss
0	0.8418584178	0.3390800461
1	0.8902795761	0.2678831399
2	0.9148905014	0.2341993805
3	0.9297342784	0.2021120327
4	0.935272739	0.1849493186
5	0.9433885968	0.1704792607
6	0.9494065906	0.1563282153
7	0.955429052	0.1468363862
8	0.960360244	0.1351600997
9	0.9632697794	0.1278786265
10	0.9660315364	0.121565058
11	0.9704792888	0.1099052173
12	0.9729799362	0.1039408493
13	0.9743585619	0.09951849379
14	0.9759251218	0.0957571279
15	0.9786128934	0.08920569223
16	0.9805291821	0.08417051438
17	0.9821649501	0.08100840866
18	0.9838997062	0.07599042712
19	0.9855784673	0.07257512532
20	0.9867973563	0.06944003638
21	0.9875545291	0.06685803917
22	0.9885671221	0.06444447424
23	0.9894294468	0.06239118843
24	0.9898044245	0.0608716234
25	0.9907342097	0.05848782885
26	0.9912367831	0.05678843273
27	0.9915019605	0.0547755874
28	0.9917470371	0.05233382301
29	0.9922937951	0.05101670626
30	0.9928697042	0.04860697202
31	0.9931729155	0.04769025268
32	0.9938460063	0.04591382362
33	0.9943423366	0.04446205752
34	0.9953001359	0.04235844655
35	0.9954313829	0.04082884781
36	0.9956550215	0.04012007811
37	0.9957203539	0.03930542489
38	0.9958810288	0.03830978557
39	0.99612038	0.03773343579
40	0.996393406	0.03673946149
41	0.9965861051	0.03564684695
42	0.9966509848	0.03462577716
43	0.9968281798	0.03350179028
44	0.9969086621	0.03293419447
45	0.9969565148	0.03247661448
46	0.9971640245	0.03191746982
47	0.9973560143	0.03086786398
48	0.9974356524	0.03066648116
49	0.9978017777	0.02978702707
50	0.9978188534	0.02839525455
51	0.9979302988	0.02782285167
52	0.998026923	0.0267255862
53	0.9981395497	0.02570167996
54	0.9982194808	0.02501844311
55	0.9983147586	0.02469954984
56	0.9985051604	0.02430153632
57	0.9985059682	0.0235556634
58	0.9984743743	0.02340178086
59	0.9984745197	0.0231995433
60	0.998506348	0.02301714155
61	0.9986653956	0.02236714911
62	0.9987610198	0.02161109212
63	0.9988564713	0.02095444135
64	0.9989835139	0.02045883056
65	0.998983998	0.01953862218
66	0.9990000635	0.01896927314
67	0.9990478306	0.01849112848
68	0.9990321301	0.01828441337
69	0.9990480874	0.01806270776
70	0.9991272612	0.01792846496
71	0.9992543588	0.0171436777
72	0.9992860882	0.01689842355
73	0.9992862241	0.01664097142
74	0.9992545599	0.01639226191
75	0.9992862241	0.01613663455
76	0.9993180881	0.01583866493
77	0.9994291242	0.01551920645
78	0.9994766972	0.01537299826
79	0.9994450522	0.01527631942
80	0.9994609506	0.01488245426
81	0.999445149	0.0147596721
82	0.9994927398	0.01468014818
83	0.9994769045	0.01461542687
84	0.9995403101	0.01434396596
85	0.9995244888	0.01424951583
86	0.9995562529	0.01385484058
87	0.9996038098	0.01355000146
88	0.9996039478	0.01311265449
89	0.9996990051	0.01277686122
90	0.9996673478	0.01257004834
91	0.999778253	0.01210157346
92	0.9997940888	0.01194043723
93	0.999794092	0.01184878348
94	0.9998099582	0.01147057339
95	0.9998416293	0.01125796535
96	0.9998416293	0.0111490245
97	0.9998416318	0.01107795412
98	0.9998416393	0.01101537065
99	0.9998574709	0.01085541988
100	0.9998733315	0.01068201296
101	0.9998733396	0.01059277855
102	0.999857516	0.01047500879
103	0.999841687	0.01032226847
104	0.999841697	0.01017787027
105	0.9998100785	0.009944463275
